associacao agricola do distrito federal e ride (agrifam) taguatinga df,associacao dos produtores da agricultura familiar (aspaf) guara df,associacao dos produtores da agricultura familiar (aspaf) nucleo bandeirante df,associacao dos produtores rurais organicos e convencionais do distrito federal e entorno (asproc) recanto das emas df,associacao dos produtores rurais organicos e convencionais do distrito federal e entorno (asproc) samambaia df,associacao dos produtores rurais novo horizonte betinho (aspronte) recanto das emas df,associacao dos trabalhadores rurais da agricultura familiar do assentamento chapadinha (astraf) guara df,cooperativa mista da agricultura familiar do meio ambiente e da cultura do brasil (coopbrasfil) recanto das emas df,cooperativa mista da agricultura familiar do meio ambiente e da cultura do brasil (coopbrasfil) samambaia df,cooperativa mista da agricultura familiar do meio ambiente e da cultura do brasil (coopbrasfil) nucleo bandeirante df,cooperativa agropecuaria da regiao de brazlandia (coopebraz) taguatinga df,cooperativa agropecuaria da regiao de brazlandia (coopebraz) samambaia df,cooperativa agropecuaria da regiao de brazlandia (coopebraz) recanto das emas df
0.6958,0.3822000000000001,0.371,0.441,0.371,0.3094,0.4298,0.3206,0.5292,0.6076000000000001,0.4158,0.245,0.6566
0.51,0.28,0.5200000000000001,0.646,0.6020000000000001,0.434,0.444,0.288,0.456,0.446,0.448,0.4319999999999999,0.51
0.6950000000000001,0.4730000000000001,0.448,0.585,0.438,0.325,0.379,0.379,0.5880000000000001,0.5020000000000001,0.609,0.452,0.5910000000000001
0.505,0.63,0.6125,0.3875,0.3225,0.345,0.4875,0.575,0.7024999999999999,0.6675,0.655,0.435,0.5650000000000001
0.585,0.3874999999999999,0.45,0.4949999999999999,0.54,0.41,0.4275,0.1925,0.4449999999999999,0.48,0.385,0.4675,0.4674999999999999
0.672,0.56,0.384,0.47,0.444,0.376,0.532,0.26,0.7020000000000001,0.6819999999999999,0.496,0.316,0.634
0.3861,0.3795,0.7293000000000001,0.3795,0.2607,0.4323,0.3003,0.3465,0.5874,0.5709000000000001,0.2079,0.3498,0.8282999999999999
0.5544,0.3954,0.5141999999999999,0.5369999999999999,0.4307999999999999,0.3504000000000001,0.3719999999999999,0.3869999999999999,0.5508,0.5388,0.4824,0.4085999999999999,0.5795999999999999
0.462,0.4774,0.5782,0.4536,0.5054000000000001,0.3388,0.427,0.469,0.6342000000000001,0.5376000000000001,0.5894,0.4928,0.4242
0.6041000000000001,0.3779999999999999,0.5467000000000001,0.5607000000000001,0.4963000000000001,0.3871,0.4200000000000001,0.35,0.6097000000000001,0.5551,0.4774000000000001,0.4585,0.6209
0.5791999999999999,0.3768,0.476,0.5671999999999999,0.504,0.3064,0.3712,0.304,0.4952,0.4543999999999999,0.5648,0.4728,0.5152
0.53,0.3225,0.7175,0.5349999999999999,0.3525,0.375,0.305,0.4549999999999999,0.6725,0.495,0.3325,0.485,0.7
0.4964,0.5491,0.6426000000000001,0.4267,0.3978000000000001,0.4726000000000001,0.425,0.5899,0.7327000000000001,0.5491,0.561,0.4964,0.5525
0.66,0.03,0.59,0.94,0.39,0.07,0.1,0.09,0.68,0.07,0.63,0.88,0.74
0.4256,0.2282,0.5025999999999999,0.6426,0.483,0.2856,0.2968,0.3626,0.3374,0.4368,0.4312,0.476,0.5082000000000001
0.5776,0.4136000000000001,0.6024,0.6008,0.4984,0.4232,0.3448,0.3952,0.6040000000000001,0.4600000000000001,0.5159999999999999,0.432,0.5272
