Banana,Coco,Mamão,Manga,Maracujá,Abóbora,Berinjela,Beterraba,Brócolis,Cebola,Cenoura,Chuchu,Gengibre,Mandioca,Pepino,Pimentão,Tomate,Organico
0.14,0.14,0.0,0.14,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.14,0
0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0
0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,1
0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.33,0.0,0
0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0
0.0,0.14,0.0,0.0,0.14,0.14,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.14,0.0,0.14,0
0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.0,0.07,0.07,0.07,0.07,0
0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.0,0.08,0.0,0.08,0.08,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0
0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.17,0
